Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
8A,17-18,1,Stair case work at Samaj Mandir ,79911.53,Buildings,,,
8A,17-18,2,Repair for Samaj Mandir,93906.75,Buildings,,,
8A,17-18,3,Benches work,169929.45,Benches,,,
8A,17-18,4,Dustbins for Dry and Wet Waste  ,200000.00,Dustbin/Buckets,,,
8A,17-18,5,Supply of Jute Bag,100000.00,Bags,,,
8A,17-18,6,Construction of iron based shade and repair work ,157817.17,Buildings,,,
8A,17-18,7,Providing Benches ,159815.27,Benches,,,
8A,17-18,8,Installation of electric motor for Public Toilets ,121952.44,Electrification,,,
8A,17-18,9,Installation of Sign/Name boards ,199692.40,Nameplates,,,
8A,17-18,10,Electrification of street ,186985.89,Electrification,,,
8A,17-18,11,Work related to electricity ,168209.05,Electrification,,,
8B,17-18,1,Providing benches ,139527.41,Benches,,,
8B,17-18,2,Repair work of hall in school building ,136988.77,Buildings,,,
8B,17-18,3,Installation of name boards ,125535.42,Nameplates,,,
8B,17-18,4,Small and big buckets for waste segregation ,200000.00,Dustbin/Buckets,,,
8B,17-18,5,Installation of Sign/Name boards ,125220.97,Nameplates,,,
8B,17-18,6,Painting of School and renovation of school office ,115400.13,Buildings,,,
8B,17-18,7,Construction of footpath ,118856.89,Footpath,,,
8B,17-18,8,Providing benches ,145277.52,Benches,,,
8C,17-18,1,Providing Jute bags ,100000.00,Bags,,,
8C,17-18,2,Providing trollys for waste collection,200000.00,Waste disposal,,,
8C,17-18,3,Providing trollys for waste collection ,200000.00,Waste disposal,,,
8C,17-18,4,Providing small buckets for waste collection ,200000.00,Dustbin/Buckets,,,
8C,17-18,5,Providing big buckets for waste collection ,200000.00,Dustbin/Buckets,,,
8C,17-18,6,Installation of Sign/Name boards ,125008.16,Nameplates,,,
8C,17-18,7,Work related to electricity ,135224.82,Electrification,,,
8C,17-18,8,Work related to electricity ,95855.58,Electrification,,,
8D,17-18,1,Providing trollys ,200000.00,Waste disposal,Resolved,चौकोनी लोखंडी गाडे पुरवणे is the description. Mostly it will be for waste collection. But how to sure. Hence Expense code not chosen ,
8D,17-18,2,Providing big buckets for waste collection ,200000.00,Dustbin/Buckets,,,
8D,17-18,3,Collecting Waste (राडारोडा) from roads ,127441.60,Cleaning,,,
8D,17-18,4,Providing Jute bags ,100000.00,Bags,,,
8D,17-18,5,Providing trollys ,200000.00,Waste disposal,Resolved,डमरू गाडे पुरवणे what does this mean? Hence code not chosen ,
8D,17-18,6,Work related to electricity ,169532.50,Electrification,,,
8D,17-18,7,Work related to electricity ,169150.00,Electrification,,,
8D,17-18,8,Work related to electricity ,169966.00,Electrification,,,
9A,17-18,1,Providing big buckets to societies ,200000.00,Dustbin/Buckets,Resolved,Providing big buckets for what is not specified? Assumption is for waste hence accrodingly code selected ,
9A,17-18,2,Providing small buckets to societies ,200000.00,Dustbin/Buckets,,,
9A,17-18,3,Spread Murum to diffrent places (विविध ठिकाणी मुरूम पुरवणे आणि पसरवणे ),129772.50,Road,,,
9A,17-18,4,Installation of Sign/Name boards ,126952.08,Nameplates,,,
9A,17-18,5,Providing cotton bags ,200000.00,Bags,,,
9A,17-18,7,Providing Jute bags ,200000.00,Bags,,,
9A,17-18,8,Painting of walls ,125624.67,Colouring,Resolved,Not sure about which code to put? There is colouring work and under nameplates slogan painting is given ,
9B,17-18,1,Providing benches ,142196.40,Benches,,,
9B,17-18,2,Providing benches ,160014.07,Benches,,,
9B,17-18,3,Spread Murum to diffrent places (विविध ठिकाणी मुरूम पुरवणे आणि पसरवणे ),147662.19,Road,,,
9B,17-18,4,Putting a drainage line ,164099.16,Drainage,,,
9B,17-18,5,Putting a drainage line ,143471.11,Drainage,,,
9B,17-18,6,Putting pavement block,141563.11,Pavement blocks,,,
9B,17-18,7,Providing buckets for waste collection ,200000.00,Dustbin/Buckets,,,
9B,17-18,8,Providing trollies for waste collection,200000.00,Waste disposal,,,
9B,17-18,9,Acquiring Grass Cutting machine ,100000.00,Garden,,,
9B,17-18,10,Putting a drainage line ,199949.00,Drainage,,,
9B,17-18,11,Installation of Sign boards ,95206.45,Nameplates,,,
9B,17-18,12,Installing Non electric Water Disinfection System,99530.00,Water supply,,,
9C,17-18,1,Putting pavement block,149620.71,Pavement blocks,,,
9C,17-18,2,Building Cement Roads ,149966.12,Concretization,,,
9C,17-18,3,Building Cement Roads ,153407.23,Concretization,,,
9C,17-18,4,Providing buckets for waste collection ,200000.00,Dustbin/Buckets,,,
9C,17-18,5,Installation of Sign boards ,129498.04,Nameplates,,,
9C,17-18,6,Providing Benches ,148391.63,Benches,,,
9C,17-18,7,Providing Benches ,148391.63,Benches,,,
9C,17-18,8,Putting Interlocking blocks,109634.16,Pavement blocks,,,
9C,17-18,8,Acquiring Grass Cutting machine for Health Department ,200000.00,Garden,No Issue,,
9C,17-18,10,Work related to electricity ,135600.18,Electrification,,,
9C,17-18,11,Development,200000.00,Development work,Resolved,No work specified and yet 2 lacs shown spent. Pls check source data ,
9D,17-18,1,Concretization ,151599.68,Concretization,,,
9D,17-18,2,Installing Signboards for PMC project sights ,129606.30,Nameplates,,,
9D,17-18,3,Installing open gym ,200000.00,Gym,,,
9D,17-18,3,Installing open gym ,200000.00,Gym,,,
9D,17-18,4,Providing big buckets for waste collection ,200000.00,Dustbin/Buckets,,,
9D,17-18,5,Providing buckets for waste segregation ,200000.00,Dustbin/Buckets,,,
9D,17-18,6,Putting blocks,136777.28,Pavement blocks,,,
9D,17-18,7,Work related to electricity ,135224.82,Electrification,,,
8A,18-19,1,Providing Jute bags ,200000.00,Bags,,,
8A,18-19,2,Providing Jute bags ,200000.00,Bags,,,
8A,18-19,3,Providing benches ,130123.55,Benches,,,
8A,18-19,4,Providing big buckets ,200000.00,Dustbin/Buckets,,,
8A,18-19,5,Electricity work in toilet,134919.26,Electrification,,,
8A,18-19,6,Electricity work in toliet ,134964.69,Electrification,,,
8A,18-19,7,Disaster Fund for Kerala floods,100000.00,Help / Fund / Relief Work,,,
8A,18-19,8,Constructing staircase for Vihar,168977.24,Buildings,,,
8A,18-19,9,Buying Canvas Bag Pet for GEM website ,197316.00,Bags,Resolved,Description not clear and not understood. Pls check the source data ,
8B,18-19,1,Installation of Name/Sign boards ,140107.97,Nameplates,,,
8B,18-19,2,Installation of Name/Sign boards ,177905.49,Nameplates,,,
8B,18-19,3,Installation of Name/Sign boards ,177905.49,Nameplates,,,
8B,18-19,4,Installation of Name/Sign boards ,177905.49,Nameplates,,,
8B,18-19,5,Installation of Name/Sign boards ,140107.97,Nameplates,,,
8B,18-19,6,Installation of Name/Sign boards ,140107.97,Nameplates,,,
8B,18-19,7,Purchase of Single wheel Baro Gaadi ,200000.00,Waste disposal,Resolved,Dont know what does the work mean hence code not selected ,
8B,18-19,8,Disaster Fund for Kerala floods,100000.00,Help / Fund / Relief Work,,,
8B,18-19,9,Installation of Name/Sign boards ,79463.58,Nameplates,,,
8C,18-19,1,Providing cotton bags ,200000.00,Bags,,,
8C,18-19,2,Providing cotton bags ,200000.00,Bags,,,
8C,18-19,3,Installation of Name/Sign boards ,165727.43,Nameplates,,,
8C,18-19,4,Radaroda uchalane,95691.11,Cleaning,,,
8C,18-19,5,Disaster Fund for Kerala floods,100000.00,Help / Fund / Relief Work,,,
8C,18-19,6,Divider Painting,178360.00,Traffic,,,
8C,18-19,7,Installation of Name/Sign boards ,176729.40,Nameplates,,,
8C,18-19,8,Work related to Samaj Mandir ,177533.60,Buildings,,,
8C,18-19,9,Installation of Name/Sign boards ,176729.40,Nameplates,,,
8D,18-19,1,Providing Jute bags ,200000.00,Bags,,,
8D,18-19,2,Providing Jute bags ,200000.00,Bags,,,
8D,18-19,3,Disaster Fund for Kerala floods,100000.00,Help / Fund / Relief Work,,,
8D,18-19,4,Work related to Samaj Mandir ,174928.32,Buildings,,,
8D,18-19,5,Work related to electricity ,197819.92,Electrification,,,
8D,18-19,6,Electricty work in Vihar,199780.00,Electrification,,,
8D,18-19,7,Developmental work related to Vihar ,177915.20,Buildings,,,
8D,18-19,8,Installation of Name/Sign boards ,159159.74,Nameplates,,,
9A,18-19,1,Radaroda uchalane and providing JCB ,176222.79,Cleaning,,,
9A,18-19,2,Providing cotton bags ,200000.00,Bags,,,
9A,18-19,3,Providing cotton bags ,200000.00,Bags,,,
9A,18-19,4,Clearing drainage line by Jetting machine ,168590.11,Drainage,,,
9A,18-19,5,providing benches ,154172.68,Benches,,,
9A,18-19,6,Disaster Fund for Kerala floods,100000.00,Help / Fund / Relief Work,,,
9A,18-19,7,Painting walls ,159758.99,Colouring,,,
9A,18-19,8,Providing benches ,157809.42,Benches,,,
9B,18-19,1,Radaroda Uchalane ,89702.02,Cleaning,,,
9B,18-19,2,Putting a drainage line ,167258.23,Drainage,,,
9B,18-19,3,Putting a drainage line ,166934.00,Drainage,,,
9B,18-19,4,Installing Electricty poles,135090.87,Electrification,,,
9B,18-19,5,Work related to electrification,137157.73,Electrification,,,
9B,18-19,6,Providing benches ,82983.43,Benches,,,
9B,18-19,7,Disaster Fund for Kerala floods,100000.00,Help / Fund / Relief Work,,,
9B,18-19,8,Providing jute bags ,200000.00,Bags,,,
9B,18-19,9,Providing benches ,89000.16,Benches,,,
9C,18-19,1,Cleaning drainage line with jetting machine ,167415.68,Drainage,,,
9C,18-19,2,Concreitization in lanes ,179892.27,Concretization,,,
9C,18-19,3,Work related to crematorium,162852.65,Cemetory / Crematorium,,,
9C,18-19,4,Installing Signboards/nameboards ,162772.06,Nameplates,,,
9C,18-19,5,Providing cold fogging myst blore machine ,200000.00,Cleaning,Resolved,Didnt understand the purpose of this machine hence no code selected ,
9C,18-19,6,Disaster Fund for Kerala floods,100000.00,Help / Fund / Relief Work,,,
9D,18-19,1,Installing Signboards/nameboards ,146727.99,Nameplates,,,
9D,18-19,2,Developmental work related to Virangula Kendra ,129842.48,Buildings,,,
9D,18-19,3,Developmental work related to Mahila Bahuuddeshiya Bhavan ,145257.70,Buildings,,,
9D,18-19,4,Installing nameboards ,159939.03,Nameplates,,,
9D,18-19,5,Putting pavement block,164462.52,Pavement blocks,,,
9D,18-19,6,Putting benches,200000.00,Benches,,,
9D,18-19,7,Putting benches,200000.00,Benches,,,
9D,18-19,8,Providing Jute/Cotton bags ,200000.00,Bags,,,
9D,18-19,9,Disaster Fund for Kerala floods,100000.00,Help / Fund / Relief Work,,,
9D,18-19,10,Electrification work of ward,196963.93,Electrification,,,
9D,18-19,15,Electrification work  ,196910.70,Electrification,,,
9D,18-19,16,Electrification work  ,199992.80,Electrification,,,
9D,18-19,17,Electrification work  ,199780.00,Electrification,,,
8A,19-20,1,Providing computers in muncipal school,200000.00,Computers,,,
8A,19-20,2,Providing computer to school,200000.00,Computers,,,
8A,19-20,3,Providing jute bags ,200000.00,Bags,,,
8A,19-20,4,Providng benches ,200000.00,Benches,,,
8A,19-20,5,Providing jute bags ,200000.00,Bags,,,
8A,19-20,6,Providng benches ,173006.00,Benches,,,
8A,19-20,7,Rada roda work,173006.00,Cleaning,,,
8A,19-20,8,Bore well work,185871.00,Bore wells,,,
8A,19-20,9,Staircase for Vihar,168977.24,Buildings,,,
8A,19-20,10,Providng benches ,139512.04,Benches,,,
8A,19-20,11,Electrification work of Samaj Mandir ,194436.70,Electrification,,,
8B,19-20,1,Putting up gate ,137395.96,Fencing,,,
8B,19-20,2,Installing Signboards/nameboards ,175205.36,Nameplates,,,
8B,19-20,3,Installing Signboards/nameboards ,176620.59,Nameplates,,,
8B,19-20,4,Installing Signboards/nameboards ,175205.36,Nameplates,,,
8B,19-20,5,Paverblock work ,68556.36,Pavement blocks,,,
8B,19-20,6,Paverblock work ,97540.00,Pavement blocks,,,
8B,19-20,7,Work related to electricity ,200000.00,Electrification,,,
8B,19-20,8,Work related to electricity ,200000.00,Electrification,,,
8C,19-20,3,Providing jute bags ,200000.00,Bags,,,
8C,19-20,4,Providing jute bags ,200000.00,Bags,,,
8C,19-20,5,Providing cotton bags ,200000.00,Bags,,,
8C,19-20,6,Providing jute bags ,200000.00,Bags,,,
8C,19-20,7,Concretization of road,177862.00,Concretization,,,
8C,19-20,8,Concretization of road,177547.00,Concretization,,,
8C,19-20,9,Computers for municipal schools ,200000.00,Computers,,,
8C,19-20,10,Computer and printer for school,200000.00,Computers,,,
8D,19-20,3,Providing Cotton bags ,200000.00,Bags,,,
8D,19-20,4,Providing Cotton bags ,200000.00,Bags,,,
