Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
17A,17-18,1,Electricity Related works,179257.26,Electrification,No Issue,,
17A,17-18,2,Cleaning of drainage line,193199.91,Drainage,No Issue,,
17A,17-18,3,Chamber and drainage line repair,191731.21,Drainage,No Issue,,
17A,17-18,4,Lanes concretization,192459.00,Concretization,No Issue,,
17A,17-18,5,Cleaning of drainage line,193718.14,Drainage,No Issue,,
17A,17-18,6,Chamber repair and drainage line cleaning,193704.52,Drainage,No Issue,,
17A,17-18,7,Toilet repairs,193574.16,Toilet,No Issue,,
17A,17-18,8,Chamber and drainage line repair,191977.18,Drainage,No Issue,,
17A,17-18,9,Drainage line repairs and related works,191319.19,Drainage,No Issue,,
17A,17-18,10,Supply of cloth bags,200000.00,Bags,No Issue,,
17B,17-18,1,Garbage Pick up,156363.22,Cleaning,No Issue,,
17B,17-18,2,Reading place,193499.56,Library,No Issue,,
17B,17-18,3,Road and other repairs related works,193445.39,Road,No Issue,,
17B,17-18,4,Cloth bags distribution,200000.00,Bags,No Issue,,
17B,17-18,5,Cloth bags distribution,200000.00,Bags,No Issue,,
17B,17-18,6,Direction boards,176372.39,Nameplates,No Issue,,
17C,17-18,1,Electric works in Samaajmandir,148956.98,Electrification,No Issue,,
17C,17-18,2,Lanes concretization,193446.40,Concretization,No Issue,,
17C,17-18,3,Chamber repair and drainage line cleaning,192322.46,Drainage,No Issue,,
17C,17-18,4,Cleaning of drainage line,193155.96,Drainage,No Issue,,
17C,17-18,5,Cleaning of drainage line,192857.14,Drainage,No Issue,,
17C,17-18,6,Drainage line repairs and related works,190729.98,Drainage,No Issue,,
17C,17-18,7,Cloth bags distribution,200000.00,Bags,No Issue,,
17D,17-18,1,Cloth bags distribution,200000.00,Bags,No Issue,,
17D,17-18,2,Drainage related works,199950.25,Drainage,No Issue,,
17D,17-18,3,Iron Benches installation,169958.48,Benches,No Issue,,
17D,17-18,4,CCTV Camera installation,190851.98,CCTV,No Issue,,
17D,17-18,5,Garbage Pick up,165507.00,Cleaning,No Issue,,
17D,17-18,6,Stainless Steel bollards,179200.29,Steel Bollards,No Issue,,
17D,17-18,7,Stainless Steel benches,176480.89,Benches,No Issue,,
17D,17-18,8,Stainless Steel bollards,153328.23,Steel Bollards,No Issue,,
17D,17-18,9,Footpath repairs,190862.21,Footpath,No Issue,,
18A,17-18,1,Cloth bags distribution,200000.00,Bags,No Issue,,
18A,17-18,2,Cloth bags distribution,200000.00,Bags,No Issue,,
18A,17-18,3,Cloth bags distribution,200000.00,Bags,No Issue,,
18A,17-18,4,Stainless Steel benches,178413.99,Benches,No Issue,,
18A,17-18,5,Stainless Steel benches,178413.99,Benches,No Issue,,
18A,17-18,6,Garbage Pick up,158523.75,Cleaning,No Issue,,
18A,17-18,7,Marble Tile with name and direction boards,182395.80,Nameplates,No Issue,,
18A,17-18,8,Cloth bags distribution,200000.00,Bags,No Issue,,
18A,17-18,9,Cloth bags distribution,200000.00,Bags,No Issue,,
18B,17-18,1,Garbage Pick up,156131.87,Cleaning,No Issue,,
18B,17-18,2,Bollard Installation,144190.67,Steel Bollards,No Issue,,
18B,17-18,3,Canvas bag distribution,200000.00,Bags,No Issue,,
18B,17-18,4,Canvas bag distribution,200000.00,Bags,No Issue,,
18B,17-18,5,Chamber alignment and related works,151599.84,Drainage,No Issue,,
18B,17-18,6,Public Toilet Repairs,159097.50,Toilet,No Issue,,
18C,17-18,1,Cloth bags distribution,200000.00,Bags,No Issue,,
18C,17-18,2,Cloth bags distribution,200000.00,Bags,No Issue,,
18C,17-18,3,Garbage Pick up,129124.80,Cleaning,No Issue,,
18D,17-18,1,Cloth bags distribution,200000.00,Bags,No Issue,,
18D,17-18,2,Cloth bags distribution,200000.00,Bags,No Issue,,
18D,17-18,3,Cloth bags distribution,200000.00,Bags,No Issue,,
18D,17-18,4,Cloth bags distribution,200000.00,Bags,No Issue,,
18D,17-18,5,Chowk beautification,179909.17,Decoration,No Issue,,
18D,17-18,6,Garbage Pick up,158844.00,Cleaning,No Issue,,
18D,17-18,7,Clearing of rainy chambers,179068.60,Drainage,No Issue,,
18D,17-18,8,Direction boards,169348.70,Nameplates,No Issue,,
19A,17-18,1,Garbage Pick up,183849.12,Cleaning,No Issue,,
19A,17-18,2,Light arrangements in Toilet,77498.25,Electrification,No Issue,,
19A,17-18,3,Light arrangements in Temple,91497.17,Electrification,No Issue,,
19A,17-18,4,Cloth bags distribution,200000.00,Bags,No Issue,,
19B,17-18,1,Cloth bags distribution,200000.00,Bags,No Issue,,
19B,17-18,2,Chamber repairs,185933.09,Drainage,No Issue,,
19B,17-18,3,Speedbreaker,189225.59,Road,No Issue,,
19B,17-18,4,Lanes concretization,189076.92,Concretization,No Issue,,
19B,17-18,5,School Beautification,180842.71,Decoration,No Issue,,
