Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
20A,17-18,1,Purchasing phenyl and acid for cleaning,199988.00,Cleaning,No Issue,,
20A,17-18,2,Providing cloth bags,200000.00,Bags,No Issue,,
20A,17-18,3,Benches,191387.41,Benches,No Issue,,
20A,17-18,4,Benches,149656.72,Benches,No Issue,,
20A,17-18,5,Library shed,188416.05,Library,No Issue,,
20A,17-18,6,Library shed,200000.00,Library,No Issue,,
20A,17-18,7,"Name plates, direction indicators, bollards",148510.09,Nameplates,No Issue,,
20A,17-18,8,Drainage line,194996.11,Drainage,No Issue,,
20B,17-18,1,Rumblers and bollards,180132.42,Steel Bollards,No Issue,,
20B,17-18,2,Fitness center development,156997.36,Gym,No Issue,,
20B,17-18,3,Direction indicators,199162.00,Nameplates,No Issue,,
20B,17-18,4,Picking up radar waste,199636.16,Cleaning,No Issue,,
20B,17-18,5,Balwadi and Samaj mandir - repair work,185679.15,Buildings,No Issue,,
20B,17-18,6,Samaj Mandir - electrical work,135726.64,Electrification,No Issue,,
20B,17-18,7,Drainage chamber reparing,199340.46,Drainage,No Issue,,
20B,17-18,8,Computers distribution in primary schools,200000.00,Computers,No Issue,,
20B,17-18,9,Benches,169283.76,Benches,No Issue,,
20C,17-18,1,Development work at Navartna Tarun Mandal,192415.39,Development work,No Issue,,
20C,17-18,2,Samaj Mandir - Repair work,169128.41,Buildings,No Issue,,
20C,17-18,3,Samajik sabhagruhache darvarit kam,197155.88,Buildings,No Issue,,
20C,17-18,4,Concretization,200000.00,Concretization,No Issue,,
20C,17-18,5,Jute bags distribution,200000.00,Bags,No Issue,,
20C,17-18,6,Jute bags distribution,200000.00,Bags,No Issue,,
20C,17-18,7,Jute bags distribution,200000.00,Bags,No Issue,,
20C,17-18,8,Chanelling fencing and gate,191296.43,Fencing,No Issue,,
20C,17-18,9,Miscelleneous Development work ,197124.77,Development work,No Issue,,
20D,17-18,1,Drainage repair work,196641.71,Drainage,No Issue,,
20D,17-18,2,Name plates,161089.89,Nameplates,No Issue,,
20D,17-18,3,Quarter Gate square's fountain repair work,197501.77,Decoration,Resolved,Code -  Decoration? / Road? / Maintenance?,Decoration is correct
20D,17-18,4,Decoration,197738.65,Decoration,No Issue,,
20D,17-18,5,Miscelleneous Development work ,199431.77,Development work,No Issue,,
20D,17-18,6,Miscelleneous Development work ,199080.62,Development work,No Issue,,
20D,17-18,7,Wheelbarrow  distribution,100000.00,Waste disposal,Resolved,Code - Garden/ Buildings/ Road/ Develoment work??,Usually these are used for waste disposal works
20D,17-18,8,Buckets distribution for waste seggregation/ disposal,100000.00,Dustbin/Buckets,No Issue,,
20D,17-18,9,Miscelleneous Development work ,194540.21,Development work,No Issue,,
20D,17-18,10,Canvas bags distribution,200000.00,Bags,No Issue,,
21A,17-18,1,Jute bags distribution,200000.00,Bags,No Issue,,
21A,17-18,2,Chamber repair,145985.93,Drainage,No Issue,,
21A,17-18,3,Plastic buckets distribution,200000.00,Dustbin/Buckets,No Issue,,
21A,17-18,4,Plastic buckets distribution,200000.00,Dustbin/Buckets,No Issue,,
21A,17-18,5,Benches,152218.84,Benches,No Issue,,
21A,17-18,6,Distribution of waste disposal vehicles,200000.00,Waste disposal,No Issue,,
21A,17-18,7,Direction indicators,200000.00,Nameplates,No Issue,,
21A,17-18,8,Direction indicators,157778.01,Nameplates,No Issue,,
21A,17-18,9,Direction indicators,200000.00,Nameplates,No Issue,,
21A,17-18,10,Furniture work,200000.00,Furniture,No Issue,,
21B,17-18,1,Buckets purchasing for waste seggregation/ disposal,200000.00,Dustbin/Buckets,No Issue,,
21B,17-18,2,Water supply,159134.74,Water supply,No Issue,,
21B,17-18,3,Benches,149827.40,Benches,No Issue,,
21B,17-18,4,Footpath lightening,200000.00,Electrification,No Issue,,
21B,17-18,5,New library,136521.81,Library,No Issue,,
21B,17-18,6,Concretization,163323.36,Concretization,No Issue,,
21B,17-18,7,Steel benches,143306.80,Benches,No Issue,,
21B,17-18,8,New library,195866.92,Library,No Issue,,
21B,17-18,9,Chambers repairs,200000.00,Drainage,No Issue,,
