Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
23A,20-21,1,Electrification/new street lights,197507.00,Electrification,No Issue,,
23C,20-21,2,Electrification/new street lights,197478.17,Electrification,No Issue,,
26C,20-21,3,Electrification/new street lights,197014.68,Electrification,No Issue,,
23A,20-21,4,Pavement Blocks / Grouting / Laying tiles,101393.33,Pavement blocks,No Issue,,
23A,20-21,5,Drainage works,120297.36,Drainage,No Issue,,
26D,20-21,6,Pavement Blocks / Grouting / Laying tiles,122589.39,Pavement blocks,No Issue,,
26D,20-21,7,Concretization,185795.54,Concretization,No Issue,,
26D,20-21,8,Drainage works,198852.69,Drainage,No Issue,,
26D,20-21,9,Drainage works,199248.33,Drainage,No Issue,,
22C,20-21,10,Electrification/new street lights,199413.97,Electrification,No Issue,,
22C,20-21,11,Electrification/new street lights,196924.87,Electrification,No Issue,,
23A,20-21,12,Electrification/new street lights,197817.46,Electrification,No Issue,,
23B,20-21,13,Electrification/new street lights,197369.50,Electrification,No Issue,,
23B,20-21,14,Electrification/new street lights,197411.64,Electrification,No Issue,,
23D,20-21,15,Electrification/new street lights,121426.00,Electrification,No Issue,,
26B,20-21,16,Electrification/new street lights,197340.00,Electrification,No Issue,,
26B,20-21,17,Electrification/new street lights,174199.78,Electrification,No Issue,,
26B,20-21,18,Electrification/new street lights,174656.61,Electrification,No Issue,,
26C,20-21,19,Electrification/new street lights,197869.38,Electrification,No Issue,,
26C,20-21,20,Electrification/new street lights,197198.75,Electrification,No Issue,,
22A,20-21,21,Drainage works,115618.15,Drainage,No Issue,,
22A,20-21,22,Drainage works,115618.15,Drainage,No Issue,,
22A,20-21,23,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,115767.30,Buildings,No Issue,,
22A,20-21,24,Building toilets / maintenance etc.,115737.86,Toilet,No Issue,,
22A,20-21,25,Concretization,116055.71,Concretization,No Issue,,
22A,20-21,26,Electrification/new street lights,198016.77,Electrification,No Issue,,
22C,20-21,27,Temporary Shed construction for yoga in Market terrace,150744.70,Buildings,No Issue,,
