Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
15A,17-18,1,Water dispensers  ,198661.88,Water supply,Resolved,Code?,
15A,17-18,2,Public library shed,162948.61,Library,No Issue,,
15A,17-18,3,Water pipeline,167802.60,Water supply,No Issue,,
15A,17-18,4,Jute bags distributed,200000.00,Bags,No Issue,,
15A,17-18,5,Jute bags distributed,200000.00,Bags,No Issue,,
15A,17-18,6,Nameplates,155216.56,Nameplates,No Issue,,
15B,17-18,1,Footpath work,155607.79,Footpath,No Issue,,
15B,17-18,2,Nameplates,148225.55,Nameplates,No Issue,,
15B,17-18,3,Open Yoga Kendra repair work,193870.31,Gym,No Issue,,
15B,17-18,4,Jute bags distributed,200000.00,Bags,No Issue,,
15B,17-18,5,Public library shed,179388.02,Library,No Issue,,
15B,17-18,6,Cotton bags distributed,200000.00,Bags,No Issue,,
15B,17-18,7,Drainage repairs,178561.61,Drainage,No Issue,,
15C,17-18,1,Ganpati Visarjan tanks repair,144775.29,Ganeshotsav,No Issue,,
15C,17-18,2,Patra shed,148897.91,Buildings,No Issue,,
15C,17-18,3,Footpath work,159505.75,Footpath,No Issue,,
15C,17-18,4,Jute bags distributed,200000.00,Bags,No Issue,,
15C,17-18,5,Nameplates,140405.96,Nameplates,No Issue,,
15C,17-18,6,Cleaning work- Rada roda,153759.69,Cleaning,No Issue,,
15C,17-18,7,Rain water harvesting plant,175506.10,Rain Water Harvesting,No Issue,,
15D,17-18,1,Benches,165553.48,Benches,No Issue,,
15D,17-18,2,Water disinfection unit,198661.81,Water supply,No Issue,,
15D,17-18,3,Samajik Gruha repair works,189980.50,Buildings,No Issue,,
15D,17-18,4,Nameplates,148827.12,Nameplates,No Issue,,
15D,17-18,5,Jute bags distributed,200000.00,Bags,No Issue,,
15D,17-18,6,Jute bags distributed,200000.00,Bags,No Issue,,
15D,17-18,7,Public library shed,159324.64,Library,No Issue,,
16A,17-18,1,Jute bags distributed,200000.00,Bags,No Issue,,
16A,17-18,2,Benches,162873.85,Benches,No Issue,,
16A,17-18,3,Building related works,189735.90,Buildings,No Issue,,
16A,17-18,4,Benches,190418.76,Benches,No Issue,,
16A,17-18,5,Cleaning work- Rada roda,182004.48,Cleaning,No Issue,,
16A,17-18,6,Samaj mandir repairs,149779.05,Buildings,No Issue,,
16A,17-18,7,Library shed,93054.34,Library,No Issue,,
16A,17-18,8,Drainage repairs,189078.10,Drainage,No Issue,,
16A,17-18,9,Nameplates,136987.45,Nameplates,No Issue,,
16B,17-18,1,Street light poles,159720.02,Electrification,No Issue,,
16B,17-18,2,New lights,159960.02,Electrification,No Issue,,
16B,17-18,3,LED fittings,123879.20,Electrification,No Issue,,
16B,17-18,4,Drainage repairs,187724.56,Drainage,No Issue,,
16B,17-18,5,Drainage repairs,194726.92,Drainage,No Issue,,
16B,17-18,6,Cleaning work- Rada roda,195839.28,Cleaning,No Issue,,
16B,17-18,7,Drainage repairs,96785.09,Drainage,No Issue,,
16B,17-18,8,Drainage repairs,188572.10,Drainage,No Issue,,
16C,17-18,1,Electrical works in toilets,79381.05,Toilet,No Issue,,
16C,17-18,2,Building related works,140179.30,Buildings,No Issue,,
16C,17-18,3,Benches,155822.24,Benches,No Issue,,
16C,17-18,4,Water disinfection unit,80798.08,Water supply,No Issue,,
16C,17-18,5,Toilet repairs,83394.29,Toilet,No Issue,,
16C,17-18,6,Jute bags distributed,200000.00,Bags,No Issue,,
16C,17-18,7,Jute bags distributed,200000.00,Bags,No Issue,,
16C,17-18,8,Jute bags distributed,200000.00,Bags,No Issue,,
16C,17-18,9,Nameplates,140455.84,Nameplates,No Issue,,
16C,17-18,10,Toilet repairs,162116.97,Toilet,No Issue,,
16C,17-18,11,Water disinfection unit,18532.86,Water supply,No Issue,,
16C,17-18,12,Public water taps repairs,33083.36,Water supply,No Issue,,
16C,17-18,13,Drainage repairs,194739.29,Drainage,Resolved,Pavsali jaali -- code? Is drainage correct?,Correct code
16D,17-18,1,Water disinfection unit,199720.00,Water supply,No Issue,,
16D,17-18,2,Water disinfection unit,199720.00,Water supply,No Issue,,
16D,17-18,3,Drainage repairs,61638.27,Drainage,No Issue,,
16D,17-18,4,Jute bags distributed,200000.00,Bags,No Issue,,
16D,17-18,5,Jute bags distributed,200000.00,Bags,No Issue,,
16D,17-18,6,Jute bags distributed,200000.00,Bags,No Issue,,
16D,17-18,7,Jute bags distributed,200000.00,Bags,No Issue,,
16D,17-18,8,Benches,160305.11,Benches,No Issue,,
16D,17-18,9,Benches,160305.11,Benches,No Issue,,
29A,17-18,1,Fence wall colouring,156460.68,Colouring,No Issue,,
29A,17-18,2,Water disinfection unit,193298.36,Water supply,No Issue,,
29A,17-18,3,Fence wall colouring,157743.25,Colouring,No Issue,,
29A,17-18,4,Benches,156815.60,Benches,Resolved,Amount in sheet is 15681.56,
29A,17-18,5,Colouring works,180901.45,Colouring,No Issue,,
29A,17-18,6,Jute bags distributed,50000.00,Bags,No Issue,,
29A,17-18,7,Jute bags distributed,200000.00,Bags,No Issue,,
29A,17-18,8,Nameplates,146038.55,Nameplates,No Issue,,
29B,17-18,1,Electrical works,129540.05,Electrification,No Issue,,
29B,17-18,2,Drainage repairs,170730.79,Drainage,No Issue,,
29B,17-18,3,Benches,153139.87,Benches,No Issue,,
29B,17-18,4,Jute bags distributed,200000.00,Bags,No Issue,,
29B,17-18,5,Jute bags distributed,200000.00,Bags,No Issue,,
29B,17-18,6,Drainage repairs,169662.76,Drainage,No Issue,,
29B,17-18,7,Toilet repairs,171818.37,Toilet,No Issue,,
29B,17-18,8,Toilet repairs,68288.80,Toilet,No Issue,,
29B,17-18,9,Nameplates,75656.29,Nameplates,No Issue,,
29B,17-18,10,Nameplates,78953.60,Nameplates,No Issue,,
29C,17-18,1,Electrical works,144367.78,Electrification,No Issue,,
29C,17-18,2,Changing cables,81842.61,Electrification,No Issue,,
29C,17-18,3,Traffic related works,79673.30,Traffic,No Issue,,
29C,17-18,4,Drainage repairs,185247.56,Drainage,No Issue,,
29C,17-18,5,Benches,155046.22,Benches,No Issue,,
29C,17-18,6,Drainage repairs,185489.63,Drainage,No Issue,,
29C,17-18,7,Wiring and electrical works in toilet,134895.79,Toilet,No Issue,,
29C,17-18,8,Benches,144894.36,Benches,No Issue,,
29C,17-18,9,Colouring works,153336.35,Colouring,No Issue,,
29C,17-18,10,Benches,87787.46,Benches,No Issue,,
29D,17-18,1,Jute bags distributed,200000.00,Bags,No Issue,,
29D,17-18,2,Jute bags distributed,200000.00,Bags,No Issue,,
29D,17-18,3,Cleaning work- Rada roda,172466.25,Cleaning,No Issue,,
29D,17-18,4,Library shed,199719.32,Library,No Issue,,
29D,17-18,5,Drainage repairs,143714.24,Drainage,No Issue,,
29D,17-18,6,Water dispensers  ,112546.47,Water supply,No Issue,,
29D,17-18,7,Traffic related works,153802.52,Traffic,No Issue,,
29D,17-18,8,Buckets for waste disposal,191103.32,Waste disposal,No Issue,,
29D,17-18,9,Nameplates,139899.03,Nameplates,No Issue,,
15A,18-19,1,Footpath work,177005.27,Footpath,No Issue,,
15A,18-19,2,Concretization work ,160889.30,Concretization,No Issue,,
15A,18-19,3,Traffic related works,196978.26,Traffic,No Issue,,
15A,18-19,4,Jute bags distributed,200000.00,Bags,No Issue,,
15A,18-19,5,Jute bags distributed,100000.00,Bags,No Issue,,
15A,18-19,6,Jute bags distributed,200000.00,Bags,No Issue,,
15A,18-19,7,Cleaning work- Rada roda,159470.08,Cleaning,No Issue,,
15A,18-19,8,Concretization work ,191506.27,Concretization,No Issue,,
15A,18-19,9,Drainage repairs,196681.52,Drainage,No Issue,,
15B,18-19,1,Repair works in school,199349.78,Buildings,No Issue,,
15B,18-19,2,Repair works in school,186845.83,Buildings,No Issue,,
15B,18-19,3,Jute bags distributed,200000.00,Bags,No Issue,,
15B,18-19,4,Drainage repairs,197602.03,Drainage,No Issue,,
15B,18-19,5,Footpath work,191469.25,Footpath,No Issue,,
15B,18-19,6,Drainage repairs,197644.87,Drainage,No Issue,,
15B,18-19,7,Library shed,147227.46,Library,No Issue,,
15B,18-19,8,Library shed,175384.09,Library,No Issue,,
15C,18-19,1,Jute bags distributed,200000.00,Bags,No Issue,,
15C,18-19,2,Ghat repairs at Omkareshwar,150819.16,Buildings,No Issue,,
15C,18-19,3,Repair works in school,154288.52,Buildings,No Issue,,
15C,18-19,4,Jute bags distributed,200000.00,Bags,No Issue,,
15C,18-19,5,Drainage repairs,155420.23,Drainage,No Issue,,
15C,18-19,6,Drainage repairs,156536.97,Drainage,No Issue,,
15C,18-19,7,Library shed,158647.35,Library,No Issue,,
15C,18-19,8,Repair works in school,195761.41,Buildings,No Issue,,
15D,18-19,1,Library shed,177564.62,Library,No Issue,,
15D,18-19,2,Jute bags distributed,200000.00,Bags,No Issue,,
15D,18-19,3,Jute bags distributed,200000.00,Bags,No Issue,,
15D,18-19,4,Library shed,146547.80,Library,No Issue,,
15D,18-19,5,Nameplates,87484.32,Nameplates,No Issue,,
16A,18-19,1,Drainage repairs,151849.05,Drainage,No Issue,,
16A,18-19,2,Jute bags distributed,200000.00,Bags,No Issue,,
16A,18-19,3,Jute bags distributed,200000.00,Bags,No Issue,,
16A,18-19,4,Toilet repairs,193533.47,Toilet,No Issue,,
16A,18-19,5,Cleaning material supply,199998.00,Cleaning,No Issue,,
16A,18-19,6,Jute bags distributed,200000.00,Bags,No Issue,,
16A,18-19,7,Development works in PMC,197815.34,Development work,No Issue,,
16A,18-19,8,Drainage repairs,94419.23,Drainage,No Issue,,
16B,18-19,1,Drainage repairs,198266.68,Drainage,No Issue,,
16B,18-19,2,Drainage repairs,198498.76,Drainage,No Issue,,
16B,18-19,3,Drainage repairs,195992.54,Drainage,No Issue,,
16B,18-19,4,Concretization work ,197709.96,Concretization,No Issue,,
16B,18-19,5,Concretization work ,198291.21,Concretization,No Issue,,
16B,18-19,6,Jute bags distributed,200000.00,Bags,No Issue,,
16B,18-19,7,Jute bags distributed,100000.00,Bags,No Issue,,
16C,18-19,1,Toilet repairs,189698.53,Toilet,No Issue,,
16C,18-19,2,Toilet repairs,96436.74,Toilet,No Issue,,
16C,18-19,3,Water pipeline,87929.46,Water supply,No Issue,,
16C,18-19,4,Nameplate at Fire brigade station,137725.60,Nameplates,No Issue,,
16C,18-19,5,Jute bags distributed,200000.00,Bags,No Issue,,
16C,18-19,6,Jute bags distributed,200000.00,Bags,No Issue,,
16C,18-19,7,Jute bags distributed,200000.00,Bags,No Issue,,
16C,18-19,8,Jute bags distributed,200000.00,Bags,No Issue,,
16C,18-19,9,Cleaning work- Rada roda,171430.34,Cleaning,No Issue,,
