Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
41A,17-18,1,Drainage line cleaning,179734.05,Drainage,No Issue,,
41B,17-18,2,Drainage line cleaning,179846.19,Drainage,No Issue,,
38C,17-18,3,Steel benches,140396.98,Benches,No Issue,,
41B,17-18,4,Benches supply,138400.00,Benches,No Issue,,
38C,17-18,5,Drainage line related work,164057.76,Drainage,No Issue,,
41B,17-18,6,Benches installation,139454.72,Benches,No Issue,,
41B,17-18,7,Direction boards installation,132305.81,Nameplates,No Issue,,
41A,17-18,8,Direction boards installation,137049.72,Nameplates,No Issue,,
41A,17-18,9,Benches installation,140013.72,Benches,No Issue,,
41D,17-18,10,Benches installation,139275.77,Benches,No Issue,,
41A,17-18,11,Benches installation,140411.08,Benches,No Issue,,
41D,17-18,12,Benches installation,140865.20,Benches,No Issue,,
41D,17-18,13,Direction boards installation,138005.67,Nameplates,No Issue,,
41D,17-18,14,Direction boards installation,138084.35,Nameplates,No Issue,,
41D,17-18,15,Benches installation,140297.55,Benches,No Issue,,
41C,17-18,16,Benches installation,138026.84,Benches,No Issue,,
38A,17-18,17,Benches installation,134831.47,Benches,No Issue,,
38B,17-18,19,Library,175007.53,Library,No Issue,,
41C,17-18,20,Direction boards installation,137455.83,Nameplates,No Issue,,
41B,17-18,21,Crematorium development work,124993.96,Cemetory / Crematorium,No Issue,,
41A,17-18,22,Electrical work,173653.59,Electrification,No Issue,,
41D,17-18,23,Electrical work,173653.59,Electrification,No Issue,,
41D,17-18,24,Electrical work,174913.73,Electrification,No Issue,,
41D,17-18,25,Electrical work,175293.14,Electrification,No Issue,,
41C,17-18,26,Electrical work,173940.12,Electrification,No Issue,,
38D,17-18,27,Concretization,169621.19,Concretization,No Issue,,
41C,17-18,28,Rainwater line and chamber repair,133908.27,Drainage,No Issue,,
41C,17-18,29,Chamber repair and related work,140595.99,Drainage,No Issue,,
41A,17-18,30,Drainage related work,127915.67,Drainage,No Issue,,
38B,17-18,31,Canvas bags purchasing,200000.00,Bags,No Issue,,
38B,17-18,32,Jute bafs purchasing,200000.00,Bags,No Issue,,
38C,17-18,33,Direction boards installation,142621.78,Nameplates,No Issue,,
41C,17-18,34,Concretization and related work,134035.79,Concretization,No Issue,,
41B,17-18,35,Bags distribution,200000.00,Bags,No Issue,,
41B,17-18,36,Bags distribution,200000.00,Bags,No Issue,,
41B,17-18,37,Bags distribution,200000.00,Bags,No Issue,,
41C,17-18,38,Direction boards installation,200000.00,Nameplates,No Issue,,
41A,17-18,39,Direction boards installation,200000.00,Nameplates,No Issue,,
41D,17-18,41,Picking up radar waste,116539.02,Cleaning,No Issue,,
38D,18-19,1,Bags distribution,200000.00,Bags,No Issue,,
38D,18-19,2,Bags distribution,200000.00,Bags,No Issue,,
38D,18-19,3,Drainage line related work,198499.69,Drainage,No Issue,,
41B,18-19,4,Direction boards and nameplates installation,156580.68,Nameplates,No Issue,,
41B,18-19,5,Direction boards and nameplates installation,154976.66,Nameplates,No Issue,,
38B,18-19,6,Board installation,158381.97,Nameplates,No Issue,,
