Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
3A,17-18,1,Drainage works,200000.00,Drainage,No Issue,,
3A,17-18,2,Footpaths / pedestrian crossings,200000.00,Footpath,No Issue,,
3A,17-18,3,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,200000.00,Nameplates,No Issue,,
3A,17-18,4,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,200000.00,Buildings,No Issue,,
3A,17-18,5,Drainage works,200000.00,Drainage,No Issue,,
3A,17-18,6,Benches,200000.00,Benches,No Issue,,
3A,17-18,7,Rain water line cleaning,200000.00,Drainage,No Issue,,
3A,17-18,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,200000.00,Road,No Issue,,
3B,17-18,1,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,200000.00,Nameplates,No Issue,,
3B,17-18,2,Drainage works,200000.00,Drainage,No Issue,,
3B,17-18,3,Building toilets / maintenance etc.,200000.00,Toilet,No Issue,,
3B,17-18,4,Benches,200000.00,Benches,No Issue,,
3B,17-18,5,Building toilets / maintenance etc.,200000.00,Toilet,No Issue,,
3B,17-18,6,Wall painting (slogans),200000.00,Decoration,No Issue,,
3B,17-18,7,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
3B,17-18,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,200000.00,Road,No Issue,,
3B,17-18,9,Bags,200000.00,Bags,No Issue,,
3C,17-18,1,Drainage works,200000.00,Drainage,No Issue,,
3C,17-18,2,Mainetnance and cleaning works,200000.00,Cleaning,No Issue,,
3C,17-18,3,Gym / gym equipments,200000.00,Gym,No Issue,,
3D,17-18,1,Picking of radar waste,200000.00,Cleaning,No Issue,,
3D,17-18,2,Drainage works,200000.00,Drainage,No Issue,,
3D,17-18,3,Picking of radar waste,200000.00,Cleaning,No Issue,,
3D,17-18,4,Drainage works,200000.00,Drainage,No Issue,,
3D,17-18,5,"Water pipelines, repairing etc.",200000.00,Water supply,No Issue,,
3D,17-18,6,Road Construction / Colouring Roads / Railing Work / Speed Breaker,200000.00,Road,No Issue,,
4A,17-18,1,Benches,125546.00,Benches,No Issue,,
4A,17-18,2,Direction boards installation,158462.57,Nameplates,No Issue,,
4A,17-18,3,Drainage works,139106.20,Drainage,No Issue,,
4A,17-18,4,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
4A,17-18,5,Picking of radar waste,137731.00,Cleaning,No Issue,,
4B,17-18,1,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
4B,17-18,2,Benches,100166.40,Benches,No Issue,,
4B,17-18,3,Benches,139121.32,Benches,No Issue,,
4B,17-18,4,Distributing Dustbins/buckets,199500.00,Dustbin/Buckets,No Issue,,
4B,17-18,5,Drainage works,97218.81,Drainage,No Issue,,
4B,17-18,6,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
4B,17-18,7,Push vehicles supply,199800.00,Waste disposal,No Issue,,
4B,17-18,8,"Furniture works, curtains etc.",143809.81,Furniture,No Issue,,
4B,17-18,9,Drainage works,98909.62,Drainage,No Issue,,
4B,17-18,10,Drainage works,121600.71,Drainage,No Issue,,
4C,17-18,1,Direction boards installation,158696.95,Nameplates,No Issue,,
4C,17-18,2,"CCTV installation, repairing etc",200000.00,CCTV,No Issue,,
4C,17-18,3,Drainage works,151658.00,Drainage,No Issue,,
4C,17-18,4,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
4C,17-18,5,Picking of radar waste,121139.76,Cleaning,No Issue,,
4D,17-18,1,Benches,199400.00,Benches,No Issue,,
4D,17-18,2,direction boards installation,158896.71,Nameplates,No Issue,,
4D,17-18,3,Drainage works,115883.77,Drainage,No Issue,,
4D,17-18,4,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
4D,17-18,5,Picking of radar waste,122139.76,Cleaning,No Issue,,
4D,17-18,6,Toilet repair work,98733.87,Toilet,No Issue,,
4D,17-18,7,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
5A,17-18,1,"Furniture works, curtains etc.",163000.00,Furniture,No Issue,,
5A,17-18,2,Benches,128000.00,Benches,No Issue,,
5A,17-18,3,Electrical works at toilet,135000.00,Electrification,No Issue,,
5A,17-18,4,Drainage works,176000.00,Drainage,No Issue,,
5A,17-18,5,Road Construction / Colouring Roads / Railing Work / Speed Breaker,189000.00,Road,No Issue,,
5A,17-18,6,Picking of radar waste,149000.00,Cleaning,No Issue,,
5A,17-18,7,Drainage works,159000.00,Drainage,No Issue,,
5A,17-18,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,128000.00,Road,No Issue,,
5B,17-18,1,Benches,127000.00,Benches,No Issue,,
5B,17-18,2,Wall painting (slogans),149000.00,Decoration,No Issue,,
5B,17-18,3,Colouring works,176000.00,Colouring,No Issue,,
5B,17-18,4,Distributing Computers,161000.00,Computers,No Issue,,
5B,17-18,5,Drainage works,134000.00,Drainage,No Issue,,
5B,17-18,6,Gym / gym maintenance,144000.00,Gym,No Issue,,
5B,17-18,7,Drainage works,197000.00,Drainage,No Issue,,
5B,17-18,8,Drainage works,128000.00,Drainage,No Issue,,
5B,17-18,9,White-yellow stripes painting on road,129000.00,Traffic,No Issue,,
5B,17-18,10,Bags,200000.00,Bags,No Issue,,
5C,17-18,1,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,157000.00,Nameplates,No Issue,,
5C,17-18,2,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
5C,17-18,3,Push vehicles supply,200000.00,Waste disposal,No Issue,,
5C,17-18,4,Benches,161000.00,Benches,No Issue,,
5C,17-18,5,Picking of radar waste,134000.00,Cleaning,No Issue,,
5C,17-18,6,Drainage works,144000.00,Drainage,No Issue,,
5C,17-18,7,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,197000.00,Nameplates,No Issue,,
5C,17-18,8,Benches,128000.00,Benches,No Issue,,
5C,17-18,9,Picking of radar waste,129000.00,Cleaning,No Issue,,
5C,17-18,10,Road Construction / Colouring Roads / Railing Work / Speed Breaker,156000.00,Road,No Issue,,
5D,17-18,1,Drainage works,192000.00,Drainage,No Issue,,
5D,17-18,2,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,192000.00,Nameplates,No Issue,,
5D,17-18,3,Benches,198000.00,Benches,No Issue,,
5D,17-18,4,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,145000.00,Nameplates,No Issue,,
5D,17-18,5,Drainage works,179000.00,Drainage,No Issue,,
5D,17-18,6,Drainage cleaning,169000.00,Drainage,No Issue,,
5D,17-18,7,Picking of radar waste,127000.00,Cleaning,No Issue,,
5D,17-18,8,"Furniture works, curtains etc.",156000.00,Furniture,No Issue,,
5D,17-18,9,Road Construction / Colouring Roads / Railing Work / Speed Breaker,176000.00,Road,No Issue,,
5D,17-18,10,Road Construction / Colouring Roads / Railing Work / Speed Breaker,176000.00,Road,No Issue,,
5A,17-18,1,Drainage works,115367.15,Drainage,Resolved,Data from a completely separate sheet; needs verification.,Verified- Tanmay
5A,17-18,2,Drainage works,163402.84,Drainage,Resolved,Data from a completely separate sheet; needs verification.,Verified- Tanmay
5D,17-18,6,Drainage works,199000.00,Drainage,Resolved,Data from a completely separate sheet; needs verification.,Verified- Tanmay
3A,18-19,1,Distributing Dustbins/buckets,199987.20,Dustbin/Buckets,No Issue,,
3A,18-19,2,Distributing Dustbins/buckets,199920.00,Dustbin/Buckets,No Issue,,
3A,18-19,3,Slogans painting,191679.87,Decoration,No Issue,,
3A,18-19,4,Footpaths / pedestrian crossings,187424.54,Footpath,No Issue,,
3A,18-19,5,Footpaths / pedestrian crossings,189629.54,Footpath,No Issue,,
3A,18-19,6,Drainage works,197530.49,Drainage,No Issue,,
3A,18-19,7,Chamber related work,196956.08,Drainage,No Issue,,
3A,18-19,8,Drainage works,197530.49,Drainage,No Issue,,
3A,18-19,9,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199981.60,Road,No Issue,,
3A,18-19,10,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199291.01,Road,No Issue,,
3B,18-19,1,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
3B,18-19,2,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
3B,18-19,3,Road decoration,173187.94,Decoration,No Issue,,
3B,18-19,4,Benches,65918.72,Benches,No Issue,,
3B,18-19,5,Benches,181276.48,Benches,No Issue,,
3B,18-19,6,Drainage works,197530.49,Drainage,No Issue,,
3B,18-19,7,Drainage works,197710.05,Drainage,No Issue,,
3B,18-19,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,197225.09,Road,No Issue,,
3B,18-19,9,Road Construction / Colouring Roads / Railing Work / Speed Breaker,197767.88,Road,No Issue,,
3B,18-19,10,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
3C,18-19,1,Road Construction / Colouring Roads / Railing Work / Speed Breaker,169375.86,Road,No Issue,,
3C,18-19,2,Road Construction / Colouring Roads / Railing Work / Speed Breaker,86259.90,Road,No Issue,,
3C,18-19,3,Road Construction / Colouring Roads / Railing Work / Speed Breaker,168002.81,Road,No Issue,,
3C,18-19,4,Road Construction / Colouring Roads / Railing Work / Speed Breaker,168198.90,Road,No Issue,,
3C,18-19,5,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199950.24,Road,No Issue,,
3D,18-19,1,"Water pipelines, repairing etc.",159513.90,Water supply,No Issue,,
3D,18-19,2,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199984.00,Road,No Issue,,
3D,18-19,3,Picking of radar waste,159744.00,Cleaning,No Issue,,
3D,18-19,4,Drainage works,161273.20,Drainage,No Issue,,
3D,18-19,5,Picking of radar waste,200000.00,Cleaning,No Issue,,
3D,18-19,6,Pavement Blocks / Grouting / Laying tiles,200000.00,Pavement blocks,No Issue,,
3D,18-19,7,Zebra crossing and parking lines paiting,100000.00,Traffic,No Issue,,
4A,18-19,1,Distributing Dustbins/buckets,199920.00,Dustbin/Buckets,No Issue,,
4A,18-19,2,Jute bags/ cloth/ canvas bags etc.,178550.00,Bags,No Issue,,
4A,18-19,3,Road Construction / Colouring Roads / Railing Work / Speed Breaker,177235.27,Road,No Issue,,
4A,18-19,4,Distributing Dustbins/buckets,199920.00,Dustbin/Buckets,No Issue,,
4A,18-19,5,Jute bags/ cloth/ canvas bags etc.,178550.00,Bags,No Issue,,
4A,18-19,6,Road Construction / Colouring Roads / Railing Work / Speed Breaker,177521.48,Road,No Issue,,
4A,18-19,7,Benches,178336.05,Benches,No Issue,,
4A,18-19,8,Distributing Dustbins/buckets,199920.00,Dustbin/Buckets,No Issue,,
4B,18-19,1,Distributing Dustbins/buckets,199528.00,Dustbin/Buckets,No Issue,,
4B,18-19,2,Benches,177813.22,Benches,No Issue,,
4B,18-19,3,Benches,176354.54,Benches,No Issue,,
4B,18-19,4,Distributing Dustbins/buckets,199808.00,Dustbin/Buckets,No Issue,,
4B,18-19,5,Drainage works,149763.91,Drainage,No Issue,,
4B,18-19,6,Jute bags/ cloth/ canvas bags etc.,178550.00,Bags,No Issue,,
4B,18-19,7,Colouring works,158776.57,Colouring,No Issue,,
4B,18-19,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,174875.45,Road,No Issue,,
4C,18-19,1,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
4C,18-19,2,Benches,197850.50,Benches,No Issue,,
4C,18-19,3,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
4C,18-19,4,Jute bags/ cloth/ canvas bags etc.,178550.00,Bags,No Issue,,
4C,18-19,5,Drainage works,197726.33,Drainage,No Issue,,
4C,18-19,6,Road Construction / Colouring Roads / Railing Work / Speed Breaker,167425.12,Road,No Issue,,
4C,18-19,7,Colouring works,158877.55,Colouring,No Issue,,
4D,18-19,1,Distributing Dustbins/buckets,199808.00,Dustbin/Buckets,No Issue,,
4D,18-19,2,Benches,178336.05,Benches,No Issue,,
4D,18-19,3,Distributing Dustbins/buckets,199136.00,Dustbin/Buckets,No Issue,,
4D,18-19,4,Drainage works,179371.38,Drainage,No Issue,,
4D,18-19,5,Jute bags/ cloth/ canvas bags etc.,178550.00,Bags,No Issue,,
4D,18-19,6,Cleaning material purchase etc,175417.09,Cleaning,No Issue,,
4D,18-19,7,Road Construction / Colouring Roads / Railing Work / Speed Breaker,177141.86,Road,No Issue,,
5A,18-19,1,Road Construction / Colouring Roads / Railing Work / Speed Breaker,169154.25,Road,No Issue,,
5A,18-19,2,Road Construction / Colouring Roads / Railing Work / Speed Breaker,200000.00,Road,No Issue,,
5A,18-19,3,Benches,199646.05,Benches,No Issue,,
5A,18-19,4,Drainage works,173813.52,Drainage,No Issue,,
5A,18-19,5,Picking of radar waste,189174.72,Cleaning,No Issue,,
5A,18-19,6,Benches,190390.23,Benches,No Issue,,
5A,18-19,7,Wall painting and decoration,179979.20,Decoration,No Issue,,
5A,18-19,8,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
5A,18-19,9,Naala cleaning,142812.00,Cleaning,No Issue,,
5A,18-19,10,Thermoplastic stips painting,168517.69,Traffic,No Issue,,
5B,18-19,1,Furniture related work,178535.00,Furniture,No Issue,,
5B,18-19,2,Picking of radar waste,178290.00,Cleaning,No Issue,,
5B,18-19,3,Benches,176744.30,Benches,No Issue,,
5B,18-19,4,Benches,197897.14,Benches,No Issue,,
5B,18-19,5,Benches,197288.94,Benches,No Issue,,
5B,18-19,6,Drainage works,176765.52,Drainage,No Issue,,
5B,18-19,7,Drainage works,199000.00,Drainage,No Issue,,
5B,18-19,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199000.00,Road,No Issue,,
5B,18-19,9,Road Construction / Colouring Roads / Railing Work / Speed Breaker,168588.53,Road,No Issue,,
5B,18-19,10,Bags,178550.00,Bags,No Issue,,
5C,18-19,1,Drainage works,197332.88,Drainage,No Issue,,
5C,18-19,2,Building toilets / maintenance etc.,197598.34,Toilet,No Issue,,
5C,18-19,3,Ghanta-gadi purchase,200000.00,Waste disposal,No Issue,,
5C,18-19,4,Road Construction / Colouring Roads / Railing Work / Speed Breaker,189932.27,Road,No Issue,,
5C,18-19,5,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
5C,18-19,6,Concretization,188481.42,Concretization,No Issue,,
5C,18-19,7,Bags,100000.00,Bags,No Issue,,
5C,18-19,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,185997.01,Road,No Issue,,
5C,18-19,9,Benches,189581.60,Benches,No Issue,,
5C,18-19,10,Drainage works,197925.32,Drainage,No Issue,,
5D,18-19,1,Benches,169603.10,Benches,No Issue,,
5D,18-19,2,Benches,169603.10,Benches,No Issue,,
5D,18-19,3,Drainage works,160679.70,Drainage,No Issue,,
5D,18-19,4,Road Construction / Colouring Roads / Railing Work / Speed Breaker,178495.00,Road,No Issue,,
5D,18-19,5,Picking of radar waste,160906.72,Cleaning,No Issue,,
5D,18-19,6,Road Construction / Colouring Roads / Railing Work / Speed Breaker,160466.40,Road,No Issue,,
5D,18-19,7,Drainage works,199000.00,Drainage,No Issue,,
5D,18-19,8,Miscelleneous Development work,178548.00,Development work,No Issue,,
3A,19-20,1,Drainage works,199702.72,Drainage,No Issue,,
3A,19-20,2,Drainage works,199820.32,Drainage,No Issue,,
3A,19-20,3,Footpaths / pedestrian crossings,199893.79,Footpath,No Issue,,
